Ward No,Ward Name,Zone Name
1,NARELA,Narela
2,BANKNER,Narela
3,HOLAMBI KALAN,Narela
4,ALIPUR,Narela
5,BAKHTAWARPUR,Narela
6,BURARI,Civil Lines
7,KADIPUR,Civil Lines
8,MUKUNDPUR,Civil Lines
9,SANT NAGAR,Civil Lines
10,JHARODA,Civil Lines
11,TIMARPUR,Civil Lines
12,MALKA GANJ,Civil Lines
13,MUKHERJEE NAGAR,Civil Lines
14,DHIRPUR,Civil Lines
15,ADARSH NAGAR,Civil Lines
16,AZADPUR,Civil Lines
17,BHALSWA,Civil Lines
18,JAHANGIR PURI,Civil Lines
19,SARUP NAGAR,Civil Lines
20,SAMAYPUR BADLI,Civil Lines
21,ROHINI-A,Rohini
22,ROHINI-B,Rohini
23,RITHALA,Rohini
24,VIJAY VIHAR,Rohini
25,BUDH VIHAR,Rohini
26,POOTH KALAN,Narela
27,BEGUMPUR,Narela
28,SHAHBAAD DAIRY,Narela
29,POOTH KHURD,Narela
30,BAWANA,Narela
31,NANGAL THAKRAN,Narela
32,KANJHAWALA,Narela
33,RANI KHERA,Narela
34,NANGLOI,Narela
35,MUNDKA,Narela
36,NILOTHI,Narela
37,KIRARI,Rohini
38,PREM NAGAR,Rohini
39,MUBARIKPUR,Rohini
40,NITHARI,Rohini
41,AMAN VIHAR,Rohini
42,MANGOL PURI,Rohini
43,SULTANPURI-A,Rohini
44,SULTANPURI-B,Rohini
45,JAWALAPURI,Rohini
46,NANGLOI JAT,Rohini
47,NIHAL VIHAR,Rohini
48,GURU HARKISHAN NAGAR,Rohini
49,MANGOLPURI-A,Rohini
50,MANGOLPURI-B,Rohini
51,ROHINI-C,Rohini
52,ROHINI-F,Rohini
53,ROHINI-E,Rohini
54,ROHINI-D,Rohini
55,SHALIMAR BAGH-A,Keshav Puram
56,SHALIMAR BAGH-B,Keshav Puram
57,PITAM PURA,Keshav Puram
58,SARASWATI VIHAR,Keshav Puram
59,PASCHIM VIHAR,Keshav Puram
60,RANI BAGH,Keshav Puram
61,KOHAT ENCLAVE,Keshav Puram
62,SHAKUR PUR,Keshav Puram
63,TRI NAGAR,Keshav Puram
64,KESHAV PURAM,Keshav Puram
65,ASHOK VIHAR,Keshav Puram
66,WAZIR PUR,Keshav Puram
67,SANGAM PARK,Keshav Puram
68,MODEL TOWN,Keshav Puram
69,KAMLA NAGAR,Keshav Puram
70,SHASTRI NAGAR,City-SP
71,KISHAN GANJ,City-SP
72,SADAR BAZAR,City-SP
73,CIVIL LINES,Civil Lines
74,CHANDNI CHOWK,City-SP
75,JAMA MASJID,City-SP
76,CHANDANI MAHAL,City-SP
77,DELHI GATE,City-SP
78,BAZAR SITA RAM,City-SP
79,BALLIMARAN,City-SP
80,RAM NAGAR,City-SP
81,QURAISH NAGAR,City-SP
82,PAHAR GANJ,Karol Bagh
83,KAROL BAGH,Karol Bagh
84,DEV NAGAR,Karol Bagh
85,WEST PATEL NAGAR,Karol Bagh
86,EAST PATEL NAGAR,Karol Bagh
87,RANJEET NAGAR,Karol Bagh
88,BALJEET NAGAR,Karol Bagh
89,KARAM PURA,Karol Bagh
90,MOTI NAGAR,Karol Bagh
91,RAMESH NAGAR,Karol Bagh
92,PUNJABI BAGH,West
93,MADIPUR,West
94,RAGHUBIR NAGAR,West
95,VISHNU GARDEN,West
96,RAJOURI GARDEN,West
97,CHAUKHANDI NAGAR,West
98,SUBHASH NAGAR,West
99,HARI NAGAR,West
100,FATEH NAGAR,West
101,TILAK NAGAR,West
102,KHYALA,West
103,KESHOPUR,West
104,JANAK PURI SOUTH,West
105,MAHAVEER ENCLAVE,West
106,JANAK PURI WEST,West
107,VIKAS PURI,West
108,HASTSAL,West
109,VIKAS NAGAR,West
110,KUNWAR SINGH NAGAR,West
111,BAPROLA,West
112,SAINIK ENCLAVE,West
113,MOHAN GARDEN,West
114,NAWADA,West
115,UTTAM NAGAR,West
116,BINDA PUR,West
117,DABRI,Najafgarh
118,SAGARPUR,Najafgarh
119,MANGLAPURI,Najafgarh
120,DWARKA-B,Najafgarh
121,DWARKA-A,Najafgarh
122,MATIALA,Najafgarh
123,KAKROLA,Najafgarh
124,NANGLI SAKRAWATI,Najafgarh
125,CHHAWALA,Najafgarh
126,ISAPUR,Najafgarh
127,NAJAFGARH,Najafgarh
128,DICHAON KALAN,Najafgarh
129,ROSHAN PURA,Najafgarh
130,DWARKA-C,Najafgarh
131,BIJWASAN,Najafgarh
132,KAPASHERA,Najafgarh
133,MAHIPALPUR,Najafgarh
134,RAJ NAGAR,Najafgarh
135,PALAM,Najafgarh
136,MADHU VIHAR,Najafgarh
137,MAHAVIR ENCLAVE,Najafgarh
138,SADH NAGAR,Najafgarh
139,NARAINA,Karol Bagh
140,INDER PURI,Karol Bagh
141,RAJINDER NAGAR,Karol Bagh
142,DARYAGANJ,Central
143,SIDHARTHA NAGAR,Central
144,LAJPAT NAGAR,Central
145,ANDREWS GANJ,Central
146,AMAR COLONY,Central
147,KOTLA MUBARAKPUR,Central
148,HAUZ KHAS,South
149,MALVIYA NAGAR,South
150,GREEN PARK,South
151,MUNIRKA,South
152,R.K. PURAM,South
153,VASANT VIHAR,South
154,LADO SARAI,South
155,MEHRAULI,South
156,VASANT KUNJ,South
157,AYA NAGAR,South
158,BHATI,South
159,CHHATARPUR,South
160,SAID-UL-AJAIB,South
161,DEOLI,South
162,TIGRI,South
163,SANGAM VIHAR-A,South
164,DAKSHIN PURI,South
165,MADANGIR,South
166,PUSHP VIHAR,South
167,KHANPUR,South
168,SANGAM VIHAR-C,Central
169,SANGAM VIHAR-B,Central
170,TUGHLAKABAD EXTENSION,Central
171,CHITARANJAN PARK,South
172,CHIRAG DELHI,South
173,GREATER KAILASH,South
174,SRI NIWAS PURI,Central
175,KALKAJI,Central
176,GOVIND PURI,Central
177,HARKESH NAGAR,Central
178,TUGHLAKABAD,Central
179,PUL PEHLADPUR,Central
180,BADARPUR,Central
181,MOLARBAND,Central
182,MEETHAPUR,Central
183,HARI NAGAR EXTENSION,Central
184,JAITPUR,Central
185,MADANPUR KHADAR EAST,Central
186,MADANPUR KHADAR WEST,Central
187,SARITA VIHAR,Central
188,ABUL FAZAL ENCLAVE,Central
189,ZAKIR NAGAR,Central
190,NEW ASHOK NAGAR,South Shahdara
191,MAYUR VIHAR PHASE-I,South Shahdara
192,TRILOKPURI,South Shahdara
193,KONDLI,South Shahdara
194,GHAROLI,South Shahdara
195,KALYANPURI,South Shahdara
196,MAYUR VIHAR PHASE-II,South Shahdara
197,PATPAR GANJ,South Shahdara
198,VINOD NAGAR,South Shahdara
199,MANDAWALI,South Shahdara
200,PANDAV NAGAR,South Shahdara
201,LALITA PARK,South Shahdara
202,SHAKARPUR,South Shahdara
203,LAXMI NAGAR,South Shahdara
204,PREET VIHAR,South Shahdara
205,I.P. EXTENSION,South Shahdara
206,ANAND VIHAR,South Shahdara
207,VISHWAS NAGAR,South Shahdara
208,ANARKALI,South Shahdara
209,JAGAT PURI,South Shahdara
210,GEETA COLONY,South Shahdara
211,KRISHNA NAGAR,South Shahdara
212,GANDHI NAGAR,South Shahdara
213,SHASTRI PARK,South Shahdara
214,AZAD NAGAR,South Shahdara
215,SHAHDARA,South Shahdara
216,JHILMIL,South Shahdara
217,DILSHAD COLONY,South Shahdara
218,SUNDAR NAGRI,North Shahdara
219,DILSHAD GARDEN,North Shahdara
220,NAND NAGRI,North Shahdara
221,ASHOK NAGAR,North Shahdara
222,RAM NAGAR EAST,North Shahdara
223,ROHTASH NAGAR,North Shahdara
224,WELCOME COLONY,North Shahdara
225,SEELAMPUR,North Shahdara
226,GAUTAM PURI,North Shahdara
227,CHAUHAN BANGER,North Shahdara
228,MAUJPUR,North Shahdara
229,BRAHAM PURI,North Shahdara
230,BHAJANPURA,North Shahdara
231,GHONDA,North Shahdara
232,YAMUNA VIHAR,North Shahdara
233,SUBHASH MOHALLA,North Shahdara
234,KABIR NAGAR,North Shahdara
235,GORAKH PARK,North Shahdara
236,KARDAM PURI,North Shahdara
237,HARSH VIHAR,North Shahdara
238,SABOLI,North Shahdara
239,GOKAL PURI,North Shahdara
240,JOHARIPUR,North Shahdara
241,KARAWAL NAGAR-EAST,North Shahdara
242,DAYALPUR,North Shahdara
243,MUSTAFABAD,North Shahdara
244,NEHRU VIHAR,North Shahdara
245,BRIJ PURI,North Shahdara
246,SRI RAM COLONY,North Shahdara
247,SADATPUR,North Shahdara
248,KARAWAL NAGAR-WEST,North Shahdara
249,SONIA VIHAR,North Shahdara
250,SABAPUR,North Shahdara
